winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,winner_position
1,173,159,145,110,2,"[0, 14, 12, 12]","[0, 0, 13, 0]","[13, 12, 0, 11]","[0, 13, 13, 11]","[0, 0, 0, 11]","[12, 11, 11, 0]","[0, 11, 10, 12]","[10, 11, 10, 0]","[11, 10, 0, 10]","[10, 11, 10, 0]","[0, 11, 10, 10]","[10, 11, 10, 0]","[11, 11, 0, 11]","[12, 10, 0, 11]","[10, 0, 13, 12]","[11, 0, 11, 13]","[0, 12, 11, 11]","[0, 12, 13, 0]","[0, 13, 12, 10]",3
3,77,137,141,108,3,"[12, 0, 11, 12]","[0, 0, 12, 11]","[0, 0, 0, 14]","[0, 12, 0, 10]","[12, 0, 11, 10]","[0, 0, 10, 10]","[10, 0, 0, 11]","[0, 11, 10, 10]","[10, 11, 10, 0]","[0, 10, 10, 10]","[0, 0, 0, 11]","[10, 10, 0, 0]","[10, 12, 0, 10]","[11, 0, 12, 12]","[11, 0, 12, 10]","[10, 0, 0, 0]","[0, 0, 12, 0]","[0, 11, 14, 0]","[12, 0, 13, 0]",4
0,102,140,157,178,0,"[11, 0, 16, 11]","[0, 10, 11, 16]","[0, 14, 11, 12]","[0, 0, 11, 0]","[10, 0, 12, 12]","[11, 0, 0, 11]","[10, 0, 11, 11]","[10, 11, 0, 10]","[10, 0, 11, 10]","[10, 0, 10, 10]","[10, 11, 0, 10]","[10, 11, 0, 0]","[10, 10, 0, 0]","[13, 0, 11, 10]","[10, 0, 0, 11]","[11, 12, 12, 0]","[15, 12, 0, 10]","[15, 11, 13, 0]","[12, 0, 11, 13]",4
1,162,79,157,153,1,"[0, 15, 12, 12]","[10, 0, 0, 0]","[10, 11, 0, 15]","[0, 11, 0, 10]","[0, 10, 12, 11]","[10, 0, 0, 10]","[12, 10, 0, 10]","[0, 10, 0, 0]","[11, 0, 11, 10]","[10, 10, 0, 10]","[10, 11, 0, 11]","[11, 10, 0, 11]","[0, 11, 11, 10]","[11, 13, 0, 10]","[12, 0, 10, 0]","[10, 12, 0, 14]","[13, 14, 11, 0]","[11, 0, 0, 13]","[12, 14, 12, 0]",4
1,160,135,105,89,2,"[0, 10, 0, 0]","[11, 0, 0, 11]","[12, 14, 11, 0]","[0, 0, 11, 0]","[0, 12, 10, 11]","[0, 12, 0, 10]","[12, 10, 12, 0]","[0, 10, 0, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[11, 11, 10, 0]","[0, 12, 10, 11]","[10, 12, 0, 10]","[12, 0, 10, 11]","[0, 12, 10, 0]","[0, 0, 0, 0]","[0, 12, 15, 11]","[0, 13, 12, 10]","[10, 0, 14, 0]",3
1,168,113,130,118,3,"[0, 11, 0, 17]","[0, 0, 11, 15]","[12, 10, 0, 0]","[0, 13, 12, 10]","[10, 12, 0, 13]","[0, 10, 11, 11]","[10, 11, 0, 12]","[10, 0, 0, 0]","[10, 10, 12, 0]","[0, 10, 11, 10]","[10, 0, 11, 10]","[0, 10, 0, 0]","[10, 11, 0, 10]","[0, 11, 10, 0]","[11, 10, 13, 0]","[0, 12, 10, 12]","[13, 0, 12, 0]","[12, 13, 0, 10]","[10, 14, 0, 0]",2
3,138,135,145,141,0,"[0, 15, 11, 11]","[0, 0, 0, 11]","[0, 0, 0, 0]","[10, 13, 0, 11]","[10, 11, 0, 12]","[0, 11, 11, 11]","[10, 0, 12, 11]","[10, 11, 10, 0]","[0, 11, 10, 10]","[11, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 11, 10]","[0, 12, 12, 10]","[10, 0, 12, 11]","[11, 10, 0, 12]","[10, 10, 0, 15]","[15, 0, 13, 0]","[11, 0, 12, 0]","[13, 14, 11, 0]",3
0,104,121,144,174,1,"[15, 0, 10, 13]","[12, 0, 0, 13]","[0, 13, 0, 0]","[10, 0, 11, 11]","[12, 0, 0, 0]","[13, 10, 10, 0]","[10, 0, 11, 10]","[10, 0, 11, 11]","[10, 0, 10, 10]","[11, 10, 0, 10]","[11, 10, 10, 0]","[11, 11, 0, 11]","[11, 12, 0, 11]","[0, 11, 12, 10]","[12, 0, 12, 10]","[14, 0, 0, 11]","[12, 0, 13, 0]","[0, 12, 0, 13]","[0, 15, 11, 0]",3
0,110,136,117,153,2,"[12, 0, 12, 12]","[13, 10, 15, 0]","[0, 12, 0, 10]","[11, 0, 12, 12]","[0, 0, 0, 0]","[10, 0, 10, 0]","[12, 10, 0, 11]","[0, 0, 0, 10]","[11, 10, 0, 10]","[0, 10, 10, 10]","[0, 10, 10, 11]","[11, 0, 10, 10]","[10, 0, 12, 0]","[0, 12, 10, 11]","[14, 11, 0, 10]","[12, 10, 12, 0]","[13, 0, 0, 0]","[12, 0, 12, 0]","[12, 15, 11, 0]",2
1,157,102,106,138,3,"[13, 14, 0, 11]","[12, 12, 12, 0]","[0, 0, 0, 12]","[14, 12, 0, 10]","[11, 11, 13, 0]","[0, 0, 0, 0]","[10, 10, 0, 12]","[11, 11, 10, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[11, 0, 10, 11]","[10, 11, 0, 0]","[13, 0, 10, 0]","[0, 10, 0, 0]","[12, 11, 0, 0]","[0, 11, 0, 10]","[11, 11, 12, 0]","[0, 11, 0, 10]","[0, 12, 15, 10]",2
