card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
JD,high,True,1,1,3,2,-1,6
TD,high,False,4,2,2,5,2,10
3C,low,False,4,1,2,5,2,9
8C,mediumHigh,False,4,2,4,2,1,10
3C,low,False,1,1,2,2,-2,4
JC,high,False,1,2,5,1,3,10
2S,low,False,3,1,5,1,3,9
3D,low,False,4,0,5,1,2,7
2H,low,False,3,3,1,4,1,10
7S,mediumlow,False,1,2,1,3,1,8
9D,mediumHigh,True,3,1,-1,3,0,4
6D,mediumlow,True,1,0,-1,2,0,2
7D,mediumlow,False,3,2,2,2,5,10
KH,veryhigh,False,2,1,1,2,3,6
7C,mediumlow,False,2,0,1,2,3,5
QD,high,False,1,-1,0,2,2,2
AD,veryhigh,False,3,5,0,4,0,10
4D,low,False,2,4,0,4,0,9
4C,low,True,4,3,-1,2,0,5
9C,mediumHigh,True,2,2,-1,0,0,2
2H,low,False,3,1,3,3,5,10
5S,low,False,4,0,3,3,3,7
3S,low,False,3,1,3,2,6,10
4S,low,False,2,0,3,1,6,8
4H,low,False,3,0,2,5,5,10
5S,low,True,2,1,4,4,3,10
2H,low,False,3,0,2,4,1,5
7S,mediumlow,True,2,3,4,0,4,10
JH,high,False,1,2,0,0,4,5
9C,mediumHigh,False,3,1,0,0,3,3
AD,veryhigh,False,2,5,2,3,1,10
8H,mediumHigh,False,3,4,2,3,1,9
5H,low,False,2,3,2,3,0,7
QC,high,True,2,2,2,1,0,4
KD,veryhigh,False,1,1,2,1,0,3
5S,low,False,4,0,5,3,0,10
AS,veryhigh,False,4,2,5,1,3,10
4H,low,False,3,1,5,1,3,9
4S,low,False,2,0,2,1,1,3
8D,mediumHigh,True,3,3,1,3,2,10
TD,high,True,2,2,1,3,2,9
6S,mediumlow,False,1,1,1,3,2,8
KD,veryhigh,True,1,0,1,1,0,3
7H,mediumlow,False,2,-1,1,1,0,2
QD,high,False,4,3,3,0,5,10
2H,low,False,3,2,3,0,5,9
7D,mediumlow,False,3,1,2,0,5,7
9C,mediumHigh,True,1,0,1,0,5,5
6S,mediumlow,False,3,6,1,2,0,10
AS,veryhigh,False,2,5,1,1,0,8
5D,low,False,2,4,1,1,0,7
8S,mediumHigh,False,1,3,0,1,0,5
AH,veryhigh,False,1,2,0,1,0,4
8C,mediumHigh,True,2,1,0,1,0,3
