seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1987,0,128,102,85,133,3,"[12, 13, 12, 0]","[11, 0, 12, 0]","[0, 0, 0, 0]","[0, 11, 0, 0]","[10, 0, 12, 11]","[0, 13, 0, 0]","[0, 10, 0, 11]","[0, 13, 10, 10]","[10, 0, 0, 0]","[10, 0, 10, 11]","[10, 11, 0, 11]","[0, 11, 10, 11]","[11, 11, 11, 0]","[12, 0, 12, 10]","[13, 11, 0, 0]","[12, 0, 0, 10]","[10, 0, 0, 0]","[12, 12, 13, 0]","[0, 12, 0, 0]"
1988,0,110,101,75,142,0,"[0, 12, 16, 0]","[10, 0, 13, 0]","[12, 11, 0, 0]","[11, 0, 0, 0]","[12, 0, 0, 10]","[11, 0, 10, 0]","[11, 10, 10, 0]","[0, 10, 0, 11]","[11, 10, 10, 11]","[0, 11, 10, 10]","[0, 10, 0, 10]","[10, 0, 10, 0]","[11, 0, 10, 0]","[11, 0, 0, 0]","[11, 0, 0, 12]","[11, 11, 0, 0]","[0, 0, 0, 11]","[10, 14, 0, 0]","[0, 11, 12, 0]"
1989,3,100,110,134,123,1,"[0, 0, 0, 0]","[12, 0, 12, 0]","[12, 0, 11, 12]","[14, 0, 11, 12]","[11, 0, 0, 11]","[0, 0, 11, 0]","[10, 11, 0, 11]","[11, 10, 12, 10]","[0, 10, 0, 0]","[10, 0, 11, 10]","[10, 0, 12, 10]","[0, 12, 10, 10]","[0, 12, 0, 0]","[10, 13, 10, 12]","[0, 10, 0, 12]","[12, 0, 10, 12]","[0, 12, 0, 0]","[11, 0, 0, 12]","[0, 10, 0, 0]"
1990,3,122,131,135,126,2,"[0, 0, 0, 0]","[0, 0, 0, 11]","[14, 0, 10, 11]","[11, 12, 0, 14]","[0, 0, 12, 0]","[12, 0, 11, 10]","[0, 11, 0, 11]","[0, 11, 10, 10]","[11, 0, 10, 11]","[11, 10, 0, 10]","[11, 10, 11, 0]","[10, 11, 10, 0]","[11, 0, 10, 0]","[11, 10, 0, 12]","[12, 12, 0, 11]","[0, 0, 11, 12]","[0, 10, 13, 12]","[12, 13, 12, 0]","[0, 12, 11, 0]"
1991,1,141,131,138,135,3,"[0, 0, 12, 0]","[13, 0, 10, 11]","[11, 12, 0, 0]","[11, 0, 10, 14]","[11, 14, 11, 0]","[10, 0, 12, 11]","[0, 10, 11, 0]","[10, 11, 0, 11]","[0, 11, 11, 10]","[11, 10, 10, 0]","[0, 10, 11, 11]","[0, 11, 10, 12]","[11, 0, 0, 0]","[11, 0, 12, 0]","[0, 0, 0, 11]","[12, 14, 0, 10]","[13, 14, 0, 11]","[11, 12, 0, 11]","[0, 12, 11, 15]"
1992,1,129,99,99,124,0,"[0, 0, 0, 0]","[14, 0, 11, 0]","[0, 14, 0, 0]","[11, 0, 0, 0]","[11, 0, 0, 14]","[10, 12, 11, 0]","[0, 10, 0, 10]","[11, 11, 0, 10]","[11, 11, 0, 10]","[11, 0, 10, 10]","[11, 11, 0, 10]","[0, 11, 0, 0]","[0, 12, 10, 11]","[0, 0, 11, 0]","[10, 0, 14, 12]","[11, 14, 10, 12]","[0, 0, 0, 0]","[0, 13, 10, 0]","[13, 10, 12, 0]"
1993,2,147,171,107,125,1,"[15, 14, 10, 0]","[0, 0, 11, 0]","[0, 0, 11, 0]","[0, 10, 12, 15]","[10, 13, 10, 0]","[10, 0, 11, 0]","[0, 11, 10, 0]","[10, 10, 0, 13]","[0, 10, 10, 11]","[10, 0, 10, 11]","[11, 11, 0, 10]","[11, 11, 10, 0]","[0, 11, 10, 0]","[0, 12, 10, 12]","[12, 0, 11, 10]","[11, 11, 13, 0]","[0, 12, 10, 13]","[14, 11, 0, 12]","[11, 0, 12, 0]"
1994,0,153,124,168,174,2,"[12, 14, 13, 0]","[10, 13, 0, 13]","[0, 13, 11, 0]","[13, 0, 0, 12]","[12, 13, 10, 0]","[11, 10, 0, 12]","[10, 0, 11, 11]","[10, 11, 0, 10]","[10, 0, 11, 11]","[11, 10, 0, 10]","[0, 10, 11, 10]","[0, 11, 10, 11]","[12, 0, 12, 10]","[12, 0, 11, 11]","[11, 0, 0, 14]","[14, 11, 12, 0]","[13, 12, 0, 12]","[13, 13, 0, 11]","[0, 12, 12, 10]"
1995,1,166,115,124,143,3,"[11, 0, 0, 0]","[10, 12, 0, 12]","[14, 11, 0, 12]","[10, 11, 0, 12]","[11, 0, 11, 0]","[0, 0, 0, 0]","[0, 10, 0, 0]","[10, 10, 12, 11]","[10, 11, 0, 11]","[0, 10, 10, 10]","[10, 0, 10, 0]","[10, 12, 11, 0]","[12, 10, 11, 0]","[12, 10, 11, 0]","[12, 12, 0, 10]","[0, 12, 0, 12]","[11, 11, 14, 12]","[0, 12, 12, 12]","[0, 12, 13, 10]"
1996,1,152,112,134,136,0,"[13, 0, 0, 0]","[12, 0, 12, 14]","[10, 17, 11, 0]","[0, 10, 0, 11]","[13, 0, 11, 11]","[0, 0, 12, 11]","[0, 0, 0, 10]","[10, 10, 0, 0]","[10, 10, 0, 10]","[0, 10, 10, 11]","[10, 10, 10, 0]","[0, 10, 13, 10]","[11, 0, 0, 0]","[0, 12, 10, 0]","[13, 12, 0, 11]","[10, 12, 10, 0]","[0, 14, 13, 10]","[10, 14, 0, 12]","[14, 11, 0, 13]"
1997,1,135,130,75,122,1,"[0, 12, 0, 0]","[0, 0, 10, 0]","[0, 10, 0, 0]","[12, 0, 11, 11]","[10, 0, 13, 0]","[0, 13, 11, 11]","[12, 0, 10, 10]","[10, 11, 0, 0]","[0, 11, 10, 10]","[10, 10, 10, 0]","[10, 11, 11, 10]","[11, 10, 12, 0]","[11, 10, 0, 12]","[0, 0, 10, 0]","[12, 12, 0, 11]","[12, 14, 10, 0]","[0, 0, 0, 0]","[0, 11, 12, 0]","[12, 0, 0, 0]"
1998,3,100,97,146,97,2,"[0, 0, 11, 14]","[0, 0, 0, 10]","[0, 11, 0, 0]","[0, 11, 0, 11]","[0, 11, 12, 0]","[11, 11, 0, 12]","[11, 0, 10, 11]","[0, 11, 0, 10]","[0, 11, 10, 11]","[10, 0, 10, 10]","[10, 11, 11, 0]","[10, 0, 10, 11]","[0, 0, 0, 0]","[0, 11, 10, 12]","[0, 0, 0, 12]","[11, 12, 0, 12]","[12, 0, 13, 0]","[11, 0, 0, 0]","[11, 0, 0, 10]"
1999,3,143,79,163,110,3,"[11, 11, 0, 14]","[0, 0, 0, 10]","[0, 0, 11, 0]","[13, 11, 12, 0]","[11, 11, 0, 13]","[11, 11, 0, 11]","[0, 0, 10, 0]","[10, 0, 0, 0]","[10, 11, 0, 10]","[10, 10, 0, 10]","[0, 10, 10, 10]","[0, 10, 0, 10]","[10, 11, 0, 10]","[12, 0, 11, 11]","[12, 10, 0, 11]","[0, 0, 0, 10]","[0, 12, 12, 10]","[0, 11, 13, 10]","[0, 14, 0, 13]"
2000,3,120,98,161,158,0,"[12, 0, 0, 13]","[10, 0, 12, 13]","[12, 0, 11, 13]","[11, 0, 0, 0]","[11, 11, 0, 10]","[0, 11, 10, 12]","[0, 10, 10, 11]","[10, 11, 0, 10]","[0, 11, 0, 0]","[10, 0, 10, 11]","[10, 11, 0, 11]","[0, 10, 0, 10]","[11, 10, 11, 0]","[0, 10, 0, 11]","[11, 0, 0, 11]","[12, 11, 11, 0]","[11, 14, 0, 0]","[13, 0, 11, 13]","[14, 0, 12, 12]"
