seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
18013,1,150,124,95,136,1,"[14, 11, 15, 0]","[11, 12, 0, 11]","[0, 11, 0, 0]","[10, 14, 0, 11]","[0, 0, 12, 0]","[12, 10, 11, 0]","[10, 0, 13, 10]","[0, 10, 10, 11]","[0, 10, 10, 12]","[10, 10, 10, 0]","[0, 10, 0, 10]","[10, 0, 10, 10]","[0, 10, 0, 0]","[11, 0, 10, 0]","[11, 11, 0, 0]","[13, 0, 12, 10]","[13, 13, 0, 10]","[11, 0, 0, 0]","[0, 18, 11, 0]"
18014,0,145,139,126,174,2,"[14, 0, 0, 0]","[16, 0, 0, 10]","[0, 14, 0, 12]","[13, 11, 13, 0]","[12, 0, 11, 12]","[11, 10, 12, 0]","[10, 11, 12, 0]","[0, 0, 10, 10]","[10, 0, 11, 10]","[11, 10, 0, 10]","[10, 0, 11, 10]","[12, 10, 10, 11]","[11, 11, 11, 0]","[10, 10, 0, 14]","[0, 12, 0, 14]","[0, 12, 12, 13]","[11, 11, 12, 0]","[11, 13, 14, 0]","[12, 10, 0, 0]"
18015,2,141,166,118,156,3,"[14, 10, 15, 0]","[0, 13, 12, 11]","[12, 13, 10, 0]","[12, 0, 0, 0]","[0, 13, 11, 12]","[10, 11, 0, 10]","[11, 0, 11, 12]","[10, 0, 11, 10]","[0, 0, 11, 10]","[10, 11, 10, 0]","[10, 0, 10, 10]","[0, 13, 10, 10]","[11, 12, 11, 0]","[12, 10, 10, 0]","[11, 0, 10, 10]","[11, 0, 11, 0]","[0, 10, 0, 11]","[11, 13, 0, 12]","[11, 12, 13, 0]"
18016,1,153,121,78,141,0,"[12, 0, 0, 0]","[13, 0, 10, 10]","[11, 0, 12, 0]","[0, 10, 0, 0]","[10, 14, 10, 0]","[0, 11, 12, 11]","[0, 11, 10, 12]","[0, 10, 0, 10]","[11, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 0, 0]","[10, 0, 0, 10]","[10, 10, 0, 13]","[10, 10, 13, 0]","[11, 10, 0, 12]","[12, 12, 12, 0]","[0, 14, 10, 0]","[11, 11, 12, 0]","[0, 10, 0, 0]"
18017,0,122,109,108,145,1,"[0, 11, 0, 0]","[13, 0, 14, 11]","[0, 0, 12, 0]","[13, 11, 10, 0]","[0, 0, 0, 11]","[12, 12, 0, 10]","[12, 11, 10, 0]","[10, 10, 0, 10]","[0, 11, 10, 10]","[10, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 0, 0]","[11, 10, 12, 0]","[10, 0, 11, 12]","[11, 0, 10, 11]","[0, 12, 0, 12]","[0, 12, 0, 0]","[10, 0, 0, 0]","[13, 12, 0, 11]"
18018,0,115,140,88,167,2,"[12, 0, 11, 13]","[0, 13, 0, 0]","[12, 0, 14, 11]","[0, 12, 10, 0]","[11, 12, 0, 12]","[12, 12, 0, 10]","[10, 0, 0, 0]","[10, 0, 10, 0]","[11, 0, 11, 10]","[11, 10, 0, 10]","[11, 11, 10, 0]","[12, 10, 10, 0]","[10, 0, 14, 10]","[10, 0, 10, 0]","[0, 0, 0, 0]","[0, 10, 14, 12]","[11, 0, 12, 0]","[11, 13, 0, 0]","[13, 12, 14, 0]"
18019,3,124,131,134,100,3,"[10, 11, 0, 14]","[0, 0, 11, 10]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 0, 0, 0]","[11, 0, 11, 13]","[10, 0, 11, 12]","[0, 0, 0, 10]","[10, 11, 0, 11]","[0, 10, 10, 10]","[0, 10, 11, 11]","[10, 13, 10, 0]","[11, 10, 10, 0]","[0, 0, 10, 10]","[14, 10, 12, 0]","[0, 10, 11, 12]","[11, 13, 12, 0]","[13, 12, 0, 0]","[0, 14, 12, 10]"
18020,2,161,183,114,142,0,"[11, 0, 16, 0]","[13, 12, 13, 0]","[12, 0, 13, 11]","[11, 14, 12, 0]","[10, 0, 11, 12]","[11, 12, 0, 10]","[10, 0, 13, 10]","[10, 0, 11, 10]","[10, 11, 0, 11]","[0, 10, 11, 10]","[0, 11, 0, 0]","[10, 10, 10, 0]","[12, 12, 10, 0]","[11, 10, 12, 0]","[11, 13, 12, 0]","[0, 12, 12, 12]","[0, 12, 0, 14]","[0, 11, 13, 0]","[0, 11, 14, 14]"
18021,0,108,57,74,175,1,"[13, 0, 0, 0]","[14, 0, 0, 0]","[13, 0, 0, 0]","[0, 0, 0, 12]","[11, 0, 12, 0]","[12, 0, 0, 10]","[0, 11, 11, 0]","[10, 12, 10, 0]","[10, 10, 11, 0]","[10, 10, 0, 10]","[10, 0, 0, 0]","[11, 10, 0, 10]","[0, 10, 0, 0]","[10, 11, 0, 11]","[12, 12, 0, 11]","[12, 0, 0, 0]","[12, 0, 13, 0]","[15, 11, 0, 10]","[0, 11, 0, 0]"
18022,0,123,119,125,150,2,"[14, 0, 10, 13]","[10, 14, 11, 0]","[14, 0, 10, 0]","[0, 11, 0, 0]","[0, 0, 0, 11]","[11, 0, 11, 10]","[10, 11, 0, 12]","[10, 10, 0, 10]","[10, 0, 11, 10]","[10, 10, 0, 11]","[0, 11, 10, 0]","[10, 0, 0, 0]","[0, 11, 10, 0]","[0, 0, 11, 0]","[11, 11, 0, 13]","[15, 11, 11, 0]","[13, 11, 0, 10]","[12, 0, 12, 14]","[0, 12, 12, 11]"
