seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
20155,1,121,100,92,115,3,"[11, 12, 12, 0]","[14, 0, 0, 0]","[0, 11, 0, 0]","[10, 0, 0, 14]","[10, 0, 0, 0]","[0, 0, 11, 10]","[0, 11, 12, 11]","[0, 0, 0, 0]","[11, 11, 10, 0]","[0, 10, 10, 10]","[0, 11, 10, 10]","[10, 10, 10, 0]","[11, 13, 0, 10]","[12, 10, 0, 13]","[15, 11, 0, 0]","[11, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 13, 0]","[0, 11, 12, 14]"
20156,0,141,122,82,168,0,"[0, 14, 0, 0]","[0, 11, 14, 0]","[0, 0, 0, 0]","[14, 12, 11, 0]","[11, 0, 10, 15]","[13, 11, 0, 11]","[11, 10, 0, 10]","[10, 12, 11, 0]","[11, 10, 10, 0]","[10, 0, 10, 10]","[10, 12, 10, 0]","[10, 0, 0, 0]","[10, 11, 0, 13]","[10, 0, 0, 11]","[11, 0, 11, 12]","[12, 13, 10, 0]","[0, 11, 0, 0]","[13, 0, 12, 0]","[12, 14, 13, 0]"
20157,0,137,137,109,166,1,"[13, 11, 0, 0]","[12, 13, 13, 11]","[0, 11, 12, 0]","[12, 12, 12, 0]","[0, 0, 0, 11]","[10, 11, 12, 0]","[10, 0, 0, 10]","[11, 10, 12, 0]","[0, 11, 10, 11]","[10, 0, 10, 11]","[10, 0, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 0]","[10, 0, 12, 11]","[11, 12, 0, 11]","[0, 11, 0, 0]","[13, 12, 0, 11]","[12, 12, 11, 0]","[12, 0, 13, 12]"
20158,2,129,159,78,115,2,"[0, 0, 14, 0]","[11, 12, 12, 0]","[12, 13, 11, 0]","[0, 12, 0, 10]","[10, 0, 13, 0]","[0, 10, 10, 0]","[0, 10, 12, 10]","[11, 10, 0, 12]","[11, 0, 10, 11]","[10, 10, 10, 0]","[10, 10, 0, 11]","[0, 10, 11, 0]","[0, 0, 11, 0]","[13, 11, 10, 0]","[0, 0, 12, 0]","[0, 0, 13, 12]","[0, 11, 10, 12]","[14, 0, 0, 0]","[13, 10, 0, 0]"
20159,2,107,137,100,126,3,"[13, 10, 13, 0]","[12, 0, 14, 11]","[0, 0, 10, 12]","[11, 0, 0, 10]","[0, 0, 0, 10]","[11, 10, 0, 0]","[0, 10, 0, 0]","[10, 11, 11, 0]","[11, 0, 10, 10]","[10, 10, 11, 0]","[0, 10, 0, 0]","[11, 12, 10, 0]","[10, 12, 10, 0]","[0, 10, 11, 11]","[14, 0, 0, 11]","[13, 0, 0, 0]","[0, 0, 12, 13]","[0, 12, 12, 12]","[0, 0, 13, 0]"
20160,2,121,132,122,109,0,"[11, 0, 12, 0]","[0, 0, 11, 0]","[0, 0, 0, 11]","[0, 0, 0, 10]","[11, 11, 0, 10]","[10, 0, 11, 0]","[0, 11, 11, 10]","[10, 10, 11, 0]","[0, 10, 10, 12]","[0, 10, 10, 11]","[0, 0, 11, 0]","[10, 0, 12, 10]","[0, 10, 0, 0]","[0, 11, 11, 13]","[12, 10, 0, 12]","[11, 10, 0, 13]","[14, 0, 10, 10]","[10, 12, 0, 0]","[10, 16, 12, 0]"
20161,0,125,111,137,144,1,"[12, 11, 0, 0]","[12, 0, 0, 0]","[13, 0, 0, 11]","[12, 11, 13, 0]","[0, 11, 12, 12]","[10, 0, 0, 13]","[0, 0, 10, 10]","[10, 11, 12, 10]","[0, 10, 11, 10]","[10, 0, 11, 10]","[10, 11, 0, 11]","[10, 11, 11, 0]","[11, 11, 11, 0]","[11, 0, 10, 11]","[0, 0, 0, 11]","[12, 0, 0, 0]","[0, 13, 10, 13]","[11, 12, 0, 15]","[0, 13, 0, 0]"
20162,0,130,145,142,150,2,"[13, 0, 0, 0]","[12, 0, 11, 11]","[0, 11, 14, 11]","[0, 12, 12, 12]","[10, 0, 10, 0]","[13, 11, 0, 10]","[0, 11, 10, 12]","[0, 10, 11, 11]","[11, 0, 10, 11]","[11, 10, 0, 10]","[11, 11, 10, 10]","[10, 0, 10, 0]","[11, 0, 11, 10]","[0, 12, 11, 10]","[10, 10, 0, 13]","[0, 10, 0, 0]","[15, 10, 0, 11]","[12, 0, 10, 0]","[11, 12, 15, 0]"
20163,2,156,162,65,145,3,"[13, 13, 0, 11]","[13, 11, 0, 0]","[0, 10, 14, 0]","[13, 11, 12, 0]","[11, 11, 0, 0]","[10, 11, 13, 0]","[0, 0, 10, 11]","[11, 12, 10, 0]","[10, 10, 0, 0]","[10, 10, 11, 0]","[12, 0, 10, 10]","[0, 10, 10, 0]","[0, 11, 12, 10]","[10, 0, 13, 11]","[10, 0, 10, 0]","[12, 11, 0, 12]","[0, 13, 12, 0]","[0, 12, 14, 0]","[10, 0, 11, 0]"
20164,1,156,130,133,122,0,"[0, 14, 0, 0]","[0, 13, 11, 11]","[13, 0, 14, 10]","[11, 0, 11, 11]","[11, 10, 0, 11]","[0, 10, 12, 0]","[0, 11, 11, 11]","[12, 10, 0, 10]","[10, 10, 12, 0]","[10, 10, 0, 10]","[0, 0, 10, 0]","[11, 12, 0, 10]","[11, 0, 0, 0]","[11, 10, 0, 12]","[11, 11, 12, 0]","[11, 0, 13, 11]","[0, 13, 0, 11]","[0, 11, 13, 0]","[0, 11, 11, 15]"
20165,0,104,80,147,151,1,"[12, 0, 12, 13]","[11, 0, 0, 11]","[10, 0, 11, 15]","[0, 11, 0, 0]","[10, 10, 13, 0]","[11, 10, 0, 10]","[0, 11, 0, 11]","[10, 10, 0, 11]","[10, 10, 10, 0]","[10, 0, 10, 11]","[0, 0, 0, 10]","[10, 10, 12, 0]","[0, 0, 0, 10]","[11, 0, 0, 11]","[12, 11, 0, 11]","[12, 10, 0, 12]","[0, 0, 0, 11]","[12, 11, 12, 0]","[10, 0, 0, 0]"
20166,0,131,108,90,134,2,"[12, 0, 0, 0]","[0, 13, 11, 0]","[11, 0, 11, 12]","[0, 11, 0, 0]","[0, 11, 0, 0]","[0, 11, 11, 0]","[10, 10, 0, 0]","[0, 0, 11, 0]","[0, 0, 0, 10]","[10, 10, 0, 10]","[11, 10, 11, 10]","[10, 10, 0, 0]","[10, 0, 10, 12]","[11, 11, 0, 11]","[12, 11, 11, 0]","[0, 12, 11, 0]","[12, 0, 10, 0]","[12, 0, 11, 13]","[13, 11, 0, 12]"
20167,0,123,143,113,178,3,"[13, 0, 14, 12]","[11, 0, 11, 10]","[10, 12, 0, 0]","[11, 0, 13, 0]","[11, 0, 0, 0]","[12, 11, 10, 0]","[0, 10, 11, 11]","[11, 0, 12, 10]","[10, 10, 10, 0]","[0, 10, 10, 10]","[11, 0, 0, 0]","[10, 12, 10, 11]","[0, 10, 10, 0]","[11, 0, 11, 13]","[12, 11, 11, 0]","[12, 11, 0, 12]","[12, 0, 10, 11]","[11, 12, 0, 0]","[10, 14, 0, 13]"
20168,1,128,126,107,127,0,"[0, 0, 11, 0]","[0, 0, 0, 11]","[0, 13, 0, 0]","[12, 11, 11, 0]","[0, 0, 10, 11]","[10, 0, 11, 0]","[10, 0, 11, 11]","[10, 12, 0, 10]","[0, 10, 0, 10]","[0, 11, 10, 10]","[0, 0, 10, 0]","[11, 12, 10, 10]","[12, 12, 10, 10]","[11, 0, 11, 12]","[0, 11, 10, 0]","[12, 12, 0, 12]","[13, 12, 0, 0]","[11, 0, 0, 0]","[15, 12, 11, 0]"
