gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
39,0,9,10,1.01,True,1000,True,10,0,0,1
39,1,9,10,1.01,False,0,True,0,1,4,1
39,2,9,10,1.01,False,0,True,0,3,2,1
39,3,9,10,1.01,False,0,True,0,5,4,1
40,0,9,10,1.01,True,1000,True,12,2,2,3
40,1,9,10,1.01,False,0,True,13,3,3,3
40,2,9,10,1.01,False,0,True,0,3,2,3
40,3,9,10,1.01,False,0,True,11,1,1,3
41,0,9,10,1.01,True,1000,True,11,1,1,3
41,1,9,10,1.01,False,0,True,14,4,4,3
41,2,9,10,1.01,False,0,True,11,1,1,3
41,3,9,10,1.01,False,0,True,0,3,5,3
42,0,9,10,1.01,True,1000,True,12,2,2,0
42,1,9,10,1.01,False,0,True,0,6,5,0
42,2,9,10,1.01,False,0,True,11,1,1,0
42,3,9,10,1.01,False,0,True,10,0,0,0
43,0,9,10,1.01,True,1000,True,0,3,4,0
43,1,9,10,1.01,False,0,True,0,2,4,0
43,2,9,10,1.01,False,0,True,0,1,0,0
43,3,9,10,1.01,False,0,True,0,3,2,0
44,0,9,10,1.01,True,1000,True,12,2,2,3
44,1,9,10,1.01,False,0,True,0,5,2,3
44,2,9,10,1.01,False,0,True,0,2,3,3
44,3,9,10,1.01,False,0,True,0,0,1,3
45,0,9,10,1.01,True,1000,True,13,3,3,2
45,1,9,10,1.01,False,0,True,10,0,0,2
45,2,9,10,1.01,False,0,True,0,3,4,2
45,3,9,10,1.01,False,0,True,13,3,3,2
46,0,9,10,1.01,True,1000,True,0,4,6,0
46,1,9,10,1.01,False,0,True,0,3,2,0
46,2,9,10,1.01,False,0,True,0,2,1,0
46,3,9,10,1.01,False,0,True,0,0,2,0
47,0,9,10,1.01,True,1000,True,11,1,1,2
47,1,9,10,1.01,False,0,True,0,1,3,2
47,2,9,10,1.01,False,0,True,0,2,1,2
47,3,9,10,1.01,False,0,True,0,5,3,2
48,0,9,10,1.01,True,1000,True,0,2,1,2
48,1,9,10,1.01,False,0,True,0,0,2,2
48,2,9,10,1.01,False,0,True,0,2,1,2
48,3,9,10,1.01,False,0,True,0,5,4,2
49,0,9,10,1.01,True,1000,True,0,4,5,0
49,1,9,10,1.01,False,0,True,0,4,1,0
49,2,9,10,1.01,False,0,True,0,1,2,0
49,3,9,10,1.01,False,0,True,0,0,3,0
50,0,9,10,1.01,True,1000,True,14,4,4,3
50,1,9,10,1.01,False,0,True,0,1,0,3
50,2,9,10,1.01,False,0,True,0,2,3,3
50,3,9,10,1.01,False,0,True,0,2,1,3
51,0,9,10,1.01,True,1000,True,0,2,1,1
51,1,9,10,1.01,False,0,True,0,1,0,1
51,2,9,10,1.01,False,0,True,0,2,3,1
51,3,9,10,1.01,False,0,True,14,4,4,1
52,0,9,10,1.01,True,1000,True,0,3,1,2
52,1,9,10,1.01,False,0,True,0,3,2,2
52,2,9,10,1.01,False,0,True,0,1,2,2
52,3,9,10,1.01,False,0,True,0,2,3,2
53,0,9,10,1.01,True,1000,True,13,3,3,1
53,1,9,10,1.01,False,0,True,0,3,4,1
53,2,9,10,1.01,False,0,True,0,1,0,1
53,3,9,10,1.01,False,0,True,0,2,3,1
54,0,9,10,1.01,True,1000,True,0,2,3,1
54,1,9,10,1.01,False,0,True,13,3,3,1
54,2,9,10,1.01,False,0,True,11,1,1,1
54,3,9,10,1.01,False,0,True,13,3,3,1
55,0,9,10,1.01,True,1000,True,10,0,0,0
55,1,9,10,1.01,False,0,True,0,4,2,0
55,2,9,10,1.01,False,0,True,12,2,2,0
55,3,9,10,1.01,False,0,True,0,3,4,0
56,0,9,10,1.01,True,1000,True,11,1,1,0
56,1,9,10,1.01,False,0,True,11,1,1,0
56,2,9,10,1.01,False,0,True,0,5,4,0
56,3,9,10,1.01,False,0,True,12,2,2,0
57,0,9,10,1.01,True,1000,True,0,4,5,0
57,1,9,10,1.01,False,0,True,0,1,2,0
57,2,9,10,1.01,False,0,True,0,2,3,0
57,3,9,10,1.01,False,0,True,0,2,1,0
58,0,9,10,1.01,True,1000,True,12,2,2,1
58,1,9,10,1.01,False,0,True,0,4,2,1
58,2,9,10,1.01,False,0,True,0,0,2,1
58,3,9,10,1.01,False,0,True,0,3,2,1
59,0,9,10,1.01,True,1000,True,13,3,3,1
59,1,9,10,1.01,False,0,True,13,3,3,1
59,2,9,10,1.01,False,0,True,0,2,3,1
59,3,9,10,1.01,False,0,True,11,1,1,1
60,0,9,10,1.01,True,1000,True,0,2,0,2
60,1,9,10,1.01,False,0,True,0,3,2,2
60,2,9,10,1.01,False,0,True,0,2,4,2
60,3,9,10,1.01,False,0,True,0,2,4,2
61,0,9,10,1.01,True,1000,True,12,2,2,3
61,1,9,10,1.01,False,0,True,0,1,2,3
61,2,9,10,1.01,False,0,True,13,3,3,3
61,3,9,10,1.01,False,0,True,13,3,3,3
62,0,9,10,1.01,True,1000,True,0,3,4,1
62,1,9,10,1.01,False,0,True,0,2,0,1
62,2,9,10,1.01,False,0,True,0,3,2,1
62,3,9,10,1.01,False,0,True,0,1,2,1
63,0,9,10,1.01,True,1000,True,0,7,3,3
63,1,9,10,1.01,False,0,True,0,0,2,3
63,2,9,10,1.01,False,0,True,0,0,1,3
63,3,9,10,1.01,False,0,True,12,2,2,3
64,0,9,10,1.01,True,1000,True,11,1,1,3
64,1,9,10,1.01,False,0,True,0,3,2,3
64,2,9,10,1.01,False,0,True,0,2,3,3
64,3,9,10,1.01,False,0,True,0,3,4,3
65,0,9,10,1.01,True,1000,True,0,1,2,3
65,1,9,10,1.01,False,0,True,0,4,3,3
65,2,9,10,1.01,False,0,True,14,4,4,3
65,3,9,10,1.01,False,0,True,0,0,1,3
66,0,9,10,1.01,True,1000,True,0,1,2,0
66,1,9,10,1.01,False,0,True,13,3,3,0
66,2,9,10,1.01,False,0,True,0,3,2,0
66,3,9,10,1.01,False,0,True,0,2,3,0
67,0,9,10,1.01,True,1000,True,15,5,5,0
67,1,9,10,1.01,False,0,True,0,0,1,0
67,2,9,10,1.01,False,0,True,11,1,1,0
67,3,9,10,1.01,False,0,True,13,3,3,0
68,0,9,10,1.01,True,1000,True,13,3,3,3
68,1,9,10,1.01,False,0,True,0,2,1,3
68,2,9,10,1.01,False,0,True,11,1,1,3
68,3,9,10,1.01,False,0,True,0,3,5,3
69,0,9,10,1.01,True,1000,True,12,2,2,0
69,1,9,10,1.01,False,0,True,11,1,1,0
69,2,9,10,1.01,False,0,True,0,1,3,0
69,3,9,10,1.01,False,0,True,0,5,4,0
70,0,9,10,1.01,True,1000,True,10,0,0,0
70,1,9,10,1.01,False,0,True,0,1,0,0
70,2,9,10,1.01,False,0,True,0,5,6,0
70,3,9,10,1.01,False,0,True,0,3,2,0
71,0,9,10,1.01,True,1000,True,12,2,2,2
71,1,9,10,1.01,False,0,True,0,2,0,2
71,2,9,10,1.01,False,0,True,0,3,5,2
71,3,9,10,1.01,False,0,True,0,2,3,2
72,0,9,10,1.01,True,1000,True,12,2,2,0
72,1,9,10,1.01,False,0,True,0,0,2,0
72,2,9,10,1.01,False,0,True,0,4,2,0
72,3,9,10,1.01,False,0,True,0,3,4,0
73,0,9,10,1.01,True,1000,True,12,2,2,2
73,1,9,10,1.01,False,0,True,0,3,2,2
73,2,9,10,1.01,False,0,True,0,2,3,2
73,3,9,10,1.01,False,0,True,0,2,3,2
74,0,9,10,1.01,True,1000,True,10,0,0,0
74,1,9,10,1.01,False,0,True,0,4,3,0
74,2,9,10,1.01,False,0,True,0,1,0,0
74,3,9,10,1.01,False,0,True,0,4,5,0
75,0,9,10,1.01,True,1000,True,0,3,4,3
75,1,9,10,1.01,False,0,True,0,2,1,3
75,2,9,10,1.01,False,0,True,12,2,2,3
75,3,9,10,1.01,False,0,True,0,2,1,3
76,0,9,10,1.01,True,1000,True,0,3,2,2
76,1,9,10,1.01,False,0,True,0,2,1,2
76,2,9,10,1.01,False,0,True,0,2,4,2
76,3,9,10,1.01,False,0,True,0,2,3,2
77,0,9,10,1.01,True,1000,True,13,3,3,2
77,1,9,10,1.01,False,0,True,12,2,2,2
77,2,9,10,1.01,False,0,True,13,3,3,2
77,3,9,10,1.01,False,0,True,0,1,2,2
78,0,9,10,1.01,True,1000,True,0,4,5,1
78,1,9,10,1.01,False,0,True,0,2,0,1
78,2,9,10,1.01,False,0,True,0,1,2,1
